date,captured,average
9/29/17,,2
9/30/17,,2
10/1/17,,2.2
10/2/17,2,1.8
10/3/17,,2.090909091
10/4/17,3,3.875
10/5/17,3,3.153846154
10/6/17,18,5.272727273
10/7/17,5,5
10/8/17,,4.444444444
10/9/17,7,4.777777778
10/10/17,9,3.9
10/11/17,3,5.636363636
10/12/17,2,7.272727273
10/13/17,,5.333333333
10/14/17,1,5.363636364
10/15/17,,5.875
10/16/17,5,7.916666667
10/17/17,4,6.071428571
10/18/17,3,4.857142857
10/19/17,16,8.111111111
10/20/17,,5.153846154
10/21/17,2,4.4
10/22/17,,6.090909091
10/23/17,6,6.75
10/24/17,4,7.357142857
10/25/17,5,6
10/26/17,22,5.285714286
10/27/17,,8.909090909
10/28/17,1,7
10/29/17,3,4.416666667
10/30/17,3,8.307692308
10/31/17,11,6.454545455
11/1/17,,7.166666667
11/2/17,13,6.307692308
11/3/17,,5.071428571
11/4/17,10,5.166666667
11/5/17,1,2.857142857
11/6/17,3,4.636363636
11/7/17,7,2.615384615
11/8/17,2,4.363636364
11/9/17,,3.545454545
11/10/17,1,3.083333333
11/11/17,,2.4
11/12/17,,2.875
11/13/17,3,2.875
11/14/17,1,1.2
11/15/17,,1.777777778
11/16/17,,2.142857143
11/17/17,1,1.75
11/18/17,,1.4
11/19/17,,1.75
11/20/17,,0.5
11/21/17,,0.5
11/22/17,,
11/23/17,,
11/24/17,,1
11/25/17,,
11/26/17,,
11/27/17,,
11/28/17,,
11/29/17,,
11/30/17,,
12/1/17,,0
